Shape
	14147 = number of dipoles in target
1.000000 0.000000 0.000000 = A_1 vector
0.000000 1.000000 0.000000 = A_2 vector
1.000000 1.000000 1.000000 = (d_x,d_y,d_z)/d
0.000000 0.000000 0.000000 = (x,y,z)/d
JA  IX  IY  IZ ICOMP(x,y,z)
	1	0	-15	0	1	1	1
	2	-5	-14	-2	1	1	1
	3	-5	-14	-1	1	1	1
	4	-5	-14	0	1	1	1
	5	-5	-14	1	1	1	1
	6	-5	-14	2	1	1	1
	7	-4	-14	-3	1	1	1
	8	-4	-14	-2	1	1	1
	9	-4	-14	-1	1	1	1
	10	-4	-14	0	1	1	1
	11	-4	-14	1	1	1	1
	12	-4	-14	2	1	1	1
	13	-4	-14	3	1	1	1
	14	-3	-14	-4	1	1	1
	15	-3	-14	-3	1	1	1
	16	-3	-14	-2	1	1	1
	17	-3	-14	-1	1	1	1
	18	-3	-14	0	1	1	1
	19	-3	-14	1	1	1	1
	20	-3	-14	2	1	1	1
	21	-3	-14	3	1	1	1
	22	-3	-14	4	1	1	1
	23	-2	-14	-5	1	1	1
	24	-2	-14	-4	1	1	1
	25	-2	-14	-3	1	1	1
	26	-2	-14	-2	1	1	1
	27	-2	-14	-1	1	1	1
	28	-2	-14	0	1	1	1
	29	-2	-14	1	1	1	1
	30	-2	-14	2	1	1	1
	31	-2	-14	3	1	1	1
	32	-2	-14	4	1	1	1
	33	-2	-14	5	1	1	1
	34	-1	-14	-5	1	1	1
	35	-1	-14	-4	1	1	1
	36	-1	-14	-3	1	1	1
	37	-1	-14	-2	1	1	1
	38	-1	-14	-1	1	1	1
	39	-1	-14	0	1	1	1
	40	-1	-14	1	1	1	1
	41	-1	-14	2	1	1	1
	42	-1	-14	3	1	1	1
	43	-1	-14	4	1	1	1
	44	-1	-14	5	1	1	1
	45	0	-14	-5	1	1	1
	46	0	-14	-4	1	1	1
	47	0	-14	-3	1	1	1
	48	0	-14	-2	1	1	1
	49	0	-14	-1	1	1	1
